Ticket	Entry_time	Exit_time	MAE	MFE	PNL	
1520	2022.08.10 01:36:40	2022.08.10 03:30:00	-26.5	53	42	SHORT
1523	2022.08.15 04:05:40	2022.08.15 04:45:20	-27.5	22.5	-27.5	SHORT
1525	2022.08.15 05:15:40	2022.08.15 10:30:00	-35	62	43	SHORT
1527	2022.08.16 04:16:40	2022.08.16 05:05:20	-20.5	22.5	-20.5	SHORT
1529	2022.08.17 04:02:40	2022.08.17 08:01:40	-29	18	-29	SHORT
1536	2022.08.25 01:37:40	2022.08.25 03:38:40	-29	34	-29	SHORT
1549	2022.09.02 01:34:40	2022.09.02 05:30:00	-25.5	80.5	71.5	SHORT
1558	2022.09.09 04:29:40	2022.09.09 07:36:40	-50	27	-50	SHORT
1561	2022.09.12 05:06:40	2022.09.12 07:30:00	-13.5	55.5	51.5	SHORT
1563	2022.09.13 04:23:20	2022.09.13 08:54:40	-34.5	33	-34.5	SHORT
1567	2022.09.15 04:06:40	2022.09.15 04:52:40	-37	26	-37	SHORT
1573	2022.09.22 01:41:40	2022.09.22 02:00:00	-2.5	73	63	SHORT
1577	2022.09.23 05:16:40	2022.09.23 07:00:00	-5.5	78	55	SHORT
1582	2022.09.29 01:47:40	2022.09.29 03:07:20	-50.5	35.5	-50.5	SHORT
1585	2022.09.30 05:19:40	2022.09.30 09:30:40	-94.5	87.5	-94.5	SHORT
1598	2022.10.13 04:24:40	2022.10.13 08:30:00	-28	65.5	41.5	SHORT
1605	2022.10.18 04:22:40	2022.10.18 06:19:40	-30.5	26	-30.5	SHORT
1609	2022.10.20 01:44:40	2022.10.20 02:30:00	-5	85.5	85	SHORT
1614	2022.10.24 05:02:40	2022.10.24 10:30:00	-56	217	193	SHORT
1617	2022.10.25 04:05:40	2022.10.25 04:30:00	-1	104	63	SHORT
1622	2022.10.27 05:12:40	2022.10.27 08:46:20	-51	60.5	-51	SHORT
1631	2022.11.02 05:02:40	2022.11.02 05:57:40	-27.5	24.5	-27.5	SHORT
1635	2022.11.04 04:15:40	2022.11.04 04:35:40	-32	5.5	-32	SHORT
1641	2022.11.08 04:03:40	2022.11.08 05:00:00	-8	34	31.5	SHORT
1644	2022.11.09 04:04:40	2022.11.09 12:00:00	-80	164.5	134.5	SHORT
1654	2022.11.17 05:05:40	2022.11.17 05:58:40	-27	1	-27	SHORT
1661	2022.11.24 05:13:40	2022.11.24 08:00:00	-7.5	17	16	SHORT
1664	2022.11.25 05:03:40	2022.11.25 05:16:20	-12	2.5	-12	SHORT
1668	2022.11.28 05:10:40	2022.11.28 07:30:00	-14.5	39	36	SHORT
1674	2022.12.05 05:01:40	2022.12.05 05:41:40	-13	7	-13	SHORT
1682	2022.12.09 01:59:40	2022.12.09 03:31:40	-38	28.5	-38	SHORT
1689	2022.12.14 04:17:40	2022.12.14 05:32:40	-20.5	14	-20.5	SHORT
1692	2022.12.15 05:02:40	2022.12.15 05:21:40	-37	7	-37	SHORT
1699	2022.12.20 05:02:40	2022.12.20 05:30:00	9.5	231.5	188	SHORT
1705	2022.12.27 05:02:40	2022.12.27 05:30:00	0	24.5	15	SHORT
1707	2022.12.28 01:50:40	2022.12.28 03:37:40	-31.5	37.5	-31.5	SHORT
1723	2023.01.09 05:09:40	2023.01.09 06:25:40	-20	7.5	-20	SHORT
1725	2023.01.10 01:45:40	2023.01.10 02:30:00	-6.5	67.5	53	SHORT
1727	2023.01.10 04:28:40	2023.01.10 10:23:40	-43.5	67.5	-43.5	SHORT
1733	2023.01.16 05:06:40	2023.01.16 08:00:00	-13.5	37	32	SHORT
1745	2023.01.27 05:29:40	2023.01.27 06:00:00	-5	30.5	25.5	SHORT
1753	2023.02.07 05:15:40	2023.02.07 07:00:00	-17	41.5	36	SHORT
1755	2023.02.08 01:55:40	2023.02.08 05:25:40	-59.5	14.5	-59.5	SHORT
1759	2023.02.10 01:34:40	2023.02.10 02:30:00	-15.5	57	53.5	SHORT
1763	2023.02.14 04:22:40	2023.02.14 06:26:40	-22.5	23.5	-22.5	SHORT
1775	2023.02.28 01:30:40	2023.02.28 02:45:40	-36	4.5	-36	SHORT
1777	2023.02.28 04:04:40	2023.02.28 07:30:00	-22	52.5	49	SHORT
1796	2023.03.16 04:20:40	2023.03.16 16:00:00	-61.5	148	105	SHORT
1805	2023.03.24 04:03:40	2023.03.24 04:30:00	10.5	58.5	32	SHORT
1809	2023.03.27 04:07:40	2023.03.27 06:34:20	-39.5	9.5	-39.5	SHORT
1811	2023.03.29 01:40:40	2023.03.29 02:48:40	-26.5	6	-26.5	SHORT
1814	2023.03.30 04:09:40	2023.03.30 04:35:40	-21.5	6.5	-21.5	SHORT
1816	2023.03.30 05:11:40	2023.03.30 05:28:40	-20	1.5	-20	SHORT
1820	2023.04.06 04:02:20	2023.04.06 04:30:00	-7	40	19	SHORT
1824	2023.04.10 05:01:40	2023.04.10 05:12:40	-16.5	1	-16.5	SHORT
1832	2023.04.14 04:13:40	2023.04.14 10:23:40	-31.5	41.5	-31.5	SHORT
1837	2023.04.20 04:07:40	2023.04.20 04:31:40	-14	5.5	-14	SHORT
1839	2023.04.20 05:23:40	2023.04.20 08:30:00	-9	44	43	SHORT
1854	2023.05.03 04:09:40	2023.05.03 08:04:20	-25.5	19	-25.5	SHORT
1860	2023.05.05 05:29:40	2023.05.05 12:10:40	-26.5	49.5	-26.5	SHORT
1869	2023.05.12 05:23:40	2023.05.12 10:00:00	-17	29.5	18.5	SHORT
1872	2023.05.16 01:39:40	2023.05.16 10:21:20	-23	36	-23	SHORT
1877	2023.05.19 04:18:40	2023.05.19 05:25:20	-12	28	-12	SHORT
1883	2023.05.25 04:16:40	2023.05.25 04:30:00	-6.5	34.5	17.5	SHORT
1886	2023.05.26 04:22:40	2023.05.26 04:30:00	-1	62.5	37	SHORT
1890	2023.05.31 04:07:40	2023.05.31 05:00:00	-12.5	23.5	21.5	SHORT
1898	2023.06.07 04:04:40	2023.06.07 10:00:00	-3.5	50.5	36.5	SHORT
1900	2023.06.08 01:36:20	2023.06.08 03:00:40	-35	18.5	-35	SHORT
1904	2023.06.12 04:07:40	2023.06.12 05:11:40	-17	7.5	-17	SHORT
1909	2023.06.14 05:07:20	2023.06.14 08:30:00	-9	24	23.5	SHORT
1913	2023.06.21 01:47:40	2023.06.21 02:38:40	-31	3.5	-31	SHORT
1915	2023.06.21 04:16:20	2023.06.21 09:00:00	-16.5	35	26.5	SHORT
1920	2023.06.28 05:16:40	2023.06.28 05:34:40	-19.5	12	-19.5	SHORT
1927	2023.07.03 04:04:40	2023.07.03 04:17:40	-15.5	1.5	-15.5	SHORT
1931	2023.07.05 01:30:40	2023.07.05 02:30:00	-5.5	17.5	12.5	SHORT
1939	2023.07.11 04:01:40	2023.07.11 04:15:40	-19.5	0	-19.5	SHORT
1952	2023.07.19 05:06:40	2023.07.19 08:52:20	-26.5	3.5	-26.5	SHORT
1955	2023.07.20 05:12:40	2023.07.20 08:53:40	-22	28.5	-22	SHORT
1957	2023.07.21 01:39:40	2023.07.21 05:20:40	-40	54.5	-40	SHORT
1959	2023.07.24 01:50:20	2023.07.24 10:16:40	-41	47	-41	SHORT
1961	2023.07.25 04:22:20	2023.07.25 04:24:40	-12.5	0.5	-12.5	SHORT
1969	2023.07.28 05:06:20	2023.07.28 06:28:40	-31.5	30	-31.5	SHORT
1979	2023.08.04 05:07:40	2023.08.04 08:47:40	-55.5	20	-55.5	SHORT
1984	2023.08.09 01:31:40	2023.08.09 03:10:40	-23	10	-23	SHORT
1993	2023.08.16 01:37:20	2023.08.16 02:28:40	-28.5	0	-28.5	SHORT
1996	2023.08.17 04:23:20	2023.08.17 04:40:40	-35	21.5	-35	SHORT
2000	2023.08.18 05:25:40	2023.08.18 08:30:00	-4.5	63.5	44	SHORT
2012	2023.08.29 04:13:20	2023.08.29 04:16:40	-15	2.5	-15	SHORT
2018	2023.09.04 04:16:40	2023.09.04 04:24:40	-23.5	1	-23.5	SHORT
2026	2023.09.14 05:16:40	2023.09.14 06:00:40	-45.5	1.5	-45.5	SHORT
2030	2023.09.18 04:21:40	2023.09.18 10:30:40	-21.5	34	-21.5	SHORT
2033	2023.09.20 01:35:20	2023.09.20 02:44:20	-17	6.5	-17	SHORT
2045	2023.10.03 01:56:20	2023.10.03 08:00:00	-32.5	65	64	SHORT
2062	2023.10.20 04:13:40	2023.10.20 05:59:40	-41	34	-41	SHORT
2066	2023.10.23 05:22:40	2023.10.23 10:30:00	-19.5	54	47.5	SHORT
2073	2023.10.30 04:17:40	2023.10.30 04:44:40	-28	2	-28	SHORT
2075	2023.10.30 05:13:40	2023.10.30 09:30:40	-46.5	5	-46.5	SHORT
2077	2023.10.31 04:14:40	2023.10.31 07:00:00	-15	96	62	SHORT
2086	2023.11.07 04:11:20	2023.11.07 08:30:00	-14	31.5	29.5	SHORT
2088	2023.11.08 05:07:40	2023.11.08 06:00:00	-2	41	28.5	SHORT
2104	2023.11.24 01:33:40	2023.11.24 09:30:00	-20.5	62	53	SHORT
2112	2023.12.01 05:22:20	2023.12.01 10:00:00	-10.5	27	22.5	SHORT
2114	2023.12.05 04:10:20	2023.12.05 08:30:00	-18.5	36.5	35.5	SHORT
2120	2023.12.07 05:08:40	2023.12.07 05:23:40	-20.5	1.5	-20.5	SHORT
2123	2023.12.11 04:24:40	2023.12.11 08:15:40	-24	28	-24	SHORT
2137	2023.12.20 04:19:20	2023.12.20 04:29:40	-12	0.5	-12	SHORT
2148	2023.12.27 05:05:40	2023.12.27 07:29:20	-18.5	7.5	-18.5	SHORT
2151	2023.12.28 05:10:20	2023.12.28 05:30:00	-1.5	17	13.5	SHORT
2157	2024.01.04 04:15:40	2024.01.04 08:32:40	-20.5	19	-20.5	SHORT
2163	2024.01.09 05:13:40	2024.01.09 06:30:00	-2.5	28	24.5	SHORT
2166	2024.01.10 05:14:40	2024.01.10 09:00:00	-15	43	29.5	SHORT
2189	2024.01.29 04:20:40	2024.01.29 05:01:40	-23	4.5	-23	SHORT
2198	2024.02.02 04:19:40	2024.02.02 11:03:40	-36.5	67.5	-36.5	SHORT
2201	2024.02.05 04:04:40	2024.02.05 07:16:40	-26	14	-26	SHORT
2203	2024.02.06 01:40:40	2024.02.06 02:47:40	-18	18	-18	SHORT
2212	2024.02.13 04:04:40	2024.02.13 04:20:40	-9.5	3.5	-9.5	SHORT
2214	2024.02.13 05:06:40	2024.02.13 07:29:00	-17.5	14.5	-17.5	SHORT
2223	2024.02.21 01:46:40	2024.02.21 10:30:00	-40	85.5	83	SHORT
2230	2024.02.26 05:03:40	2024.02.26 10:32:40	-38	33	-38	SHORT
2233	2024.02.27 04:17:40	2024.02.27 08:00:00	-6	57	35.5	SHORT
2239	2024.03.04 01:41:40	2024.03.04 10:09:40	-61.5	17	-61.5	SHORT
2243	2024.03.11 01:42:40	2024.03.11 02:11:40	-39	44.5	-39	SHORT
2257	2024.03.26 01:36:20	2024.03.26 02:52:20	-24.5	7.5	-24.5	SHORT
2266	2024.04.09 04:10:20	2024.04.09 04:30:40	-17	2.5	-17	SHORT
2268	2024.04.10 04:25:40	2024.04.10 06:05:20	-15.5	14	-15.5	SHORT
2272	2024.04.12 04:10:20	2024.04.12 04:34:40	-25.5	6	-25.5	SHORT
2277	2024.04.16 05:04:40	2024.04.16 05:30:00	-10	119	90	SHORT
2285	2024.04.19 01:54:40	2024.04.19 03:00:00	0.5	100	68.5	SHORT
2289	2024.04.23 04:06:40	2024.04.23 05:00:00	-19	63	35	SHORT
2311	2024.05.09 04:09:40	2024.05.09 04:54:40	-18	11	-18	SHORT
2315	2024.05.10 04:23:20	2024.05.10 08:04:40	-17	19.5	-17	SHORT
2327	2024.05.17 05:03:40	2024.05.17 06:00:00	-6	29.5	19	SHORT
2330	2024.05.20 05:05:40	2024.05.20 05:32:40	-14.5	3.5	-14.5	SHORT
2332	2024.05.21 04:29:40	2024.05.21 10:26:40	-19	17.5	-19	SHORT
2340	2024.05.24 05:11:40	2024.05.24 09:30:00	-23.5	56	34.5	SHORT
2344	2024.05.27 05:13:40	2024.05.27 06:18:40	-17.5	19.5	-17.5	SHORT
2348	2024.05.30 05:21:40	2024.05.30 06:30:00	-5.5	55	43.5	SHORT
2354	2024.06.04 04:07:40	2024.06.04 06:30:00	-20.5	47.5	31.5	SHORT
2361	2024.06.07 05:01:00	2024.06.07 05:27:40	-15.5	1.5	-15.5	SHORT
2367	2024.06.12 05:10:40	2024.06.12 06:53:20	-25	5	-25	SHORT
2369	2024.06.13 05:02:40	2024.06.13 06:11:40	-16	11.5	-16	SHORT
2376	2024.06.18 04:11:40	2024.06.18 06:17:40	-38.5	25	-38.5	SHORT
2383	2024.06.20 05:01:40	2024.06.20 06:45:40	-19	4	-19	SHORT
2402	2024.07.04 05:08:40	2024.07.04 17:00:00	-15.5	40	34	SHORT
2406	2024.07.05 05:05:20	2024.07.05 05:28:40	-18.5	1	-18.5	SHORT
2412	2024.07.11 01:35:40	2024.07.11 03:30:00	-5	43	36.5	SHORT
2416	2024.07.15 05:15:20	2024.07.15 07:32:40	-27	16.5	-27	SHORT
2421	2024.07.18 05:15:40	2024.07.18 06:30:00	-8	36	26	SHORT
2424	2024.07.22 04:09:40	2024.07.22 05:00:00	-14	98.5	71.5	SHORT
2436	2024.07.30 01:35:40	2024.07.30 02:30:00	-9.5	105	99.5	SHORT
2438	2024.07.30 04:28:40	2024.07.30 05:00:00	-1.5	83.5	54.5	SHORT
2445	2024.08.02 04:26:40	2024.08.02 04:46:40	-90	15	-90	SHORT
2447	2024.08.02 05:15:20	2024.08.02 05:30:00	-11	377	237.5	SHORT
2450	2024.08.06 01:55:20	2024.08.06 02:49:40	-181	7	-181	SHORT
2462	2024.08.12 04:00:40	2024.08.12 04:30:40	-46	29	-46	SHORT
2464	2024.08.13 01:31:40	2024.08.13 02:29:40	-38.5	7.5	-38.5	SHORT
2466	2024.08.13 04:10:40	2024.08.13 06:04:20	-94.5	1	-94.5	SHORT
2470	2024.08.14 05:11:40	2024.08.14 11:30:00	-32	105.5	73.5	SHORT
2483	2024.08.26 01:33:40	2024.08.26 04:19:20	-106.5	123.5	-106.5	SHORT
2487	2024.08.29 04:24:40	2024.08.29 05:41:40	-52.5	27.5	-52.5	SHORT
2489	2024.08.30 04:17:20	2024.08.30 05:04:40	-38	21.5	-38	SHORT
2492	2024.09.03 01:35:40	2024.09.03 02:30:00	-10.5	168.5	134	SHORT
2500	2024.09.10 05:04:40	2024.09.10 08:00:00	-35.5	100	87.5	SHORT
2504	2024.09.13 04:02:40	2024.09.13 06:00:00	-7.5	61.5	50.5	SHORT
2513	2024.09.20 01:38:40	2024.09.20 11:30:00	-51.5	66.5	66	SHORT
2535	2024.10.17 04:19:40	2024.10.17 08:32:40	-39	56	-39	SHORT
2544	2024.10.25 01:36:20	2024.10.25 03:45:40	-44.5	26	-44.5	SHORT
2549	2024.10.30 04:06:40	2024.10.30 04:22:40	-38.5	2.5	-38.5	SHORT
2551	2024.10.30 05:26:40	2024.10.30 06:00:00	-5	41.5	30.5	SHORT
2574	2024.11.20 05:14:40	2024.11.20 08:28:40	-45.5	38	-45.5	SHORT
2578	2024.11.26 01:41:40	2024.11.26 02:00:00	-0.5	184	115	SHORT
2588	2024.12.03 04:18:40	2024.12.03 05:06:40	-26	8	-26	SHORT
2591	2024.12.04 05:25:40	2024.12.04 06:21:40	-37.5	1	-37.5	SHORT
2597	2024.12.06 05:18:40	2024.12.06 08:08:20	-22.5	23.5	-22.5	SHORT
2604	2024.12.16 05:19:40	2024.12.16 07:30:00	-17.5	48.5	35	SHORT
2609	2024.12.19 01:42:40	2024.12.19 03:01:20	-175.5	9	-175.5	SHORT
2615	2024.12.24 01:34:40	2024.12.24 08:38:40	-51	54	-51	SHORT
2620	2024.12.27 04:01:20	2024.12.27 08:30:00	-32	63	47.5	SHORT
2622	2024.12.30 04:29:20	2024.12.30 08:00:00	-22	82	61	SHORT
2625	2025.01.02 01:38:40	2025.01.02 02:30:00	-36	266	220	SHORT
2628	2025.01.02 05:16:20	2025.01.02 05:27:40	-48	4.5	-48	SHORT
2634	2025.01.09 05:22:40	2025.01.09 06:00:00	-24	42.5	40.5	SHORT
2648	2025.01.23 05:15:40	2025.01.23 05:26:20	-22	8	-22	SHORT
2650	2025.01.24 05:15:20	2025.01.24 05:30:00	-5.5	64.5	52.5	SHORT
2653	2025.01.29 05:11:40	2025.01.29 06:00:40	-41.5	13	-41.5	SHORT
2659	2025.02.06 05:08:40	2025.02.06 06:08:40	-15	16	-15	SHORT
2663	2025.02.07 05:13:40	2025.02.07 06:30:00	-5	48	42.5	SHORT
2667	2025.02.11 04:06:40	2025.02.11 04:30:00	-0.5	68.5	46	SHORT
2671	2025.02.13 04:05:40	2025.02.13 06:00:40	-65.5	18.5	-65.5	SHORT
2677	2025.02.18 04:10:40	2025.02.18 04:37:40	-24	0.5	-24	SHORT
2682	2025.02.20 01:46:40	2025.02.20 03:30:00	-31.5	67	42	SHORT
2689	2025.02.24 05:17:40	2025.02.24 05:44:40	-30	6	-30	SHORT
2691	2025.02.25 04:23:40	2025.02.25 09:30:00	-41.5	147.5	137.5	SHORT
2697	2025.03.04 05:03:40	2025.03.04 05:19:40	-53	22	-53	SHORT
2701	2025.03.06 01:31:40	2025.03.06 06:49:40	-74	48.5	-74	SHORT
2703	2025.03.07 04:00:40	2025.03.07 04:15:40	-40	7	-40	SHORT
2705	2025.03.07 05:14:40	2025.03.07 08:30:00	-33	112	68.5	SHORT
2721	2025.03.21 04:12:40	2025.03.21 04:36:40	-37	12.5	-37	SHORT
2723	2025.03.21 05:10:40	2025.03.21 06:30:00	-6	95.5	54	SHORT
2727	2025.03.26 04:07:40	2025.03.26 05:30:00	-9.5	95.5	82.5	SHORT
2753	2025.04.24 04:02:40	2025.04.24 05:00:00	-21	125	122.5	SHORT
2755	2025.04.25 04:23:40	2025.04.25 05:30:00	-59	93.5	87	SHORT
2761	2025.05.01 04:09:40	2025.05.01 06:35:40	-79	13.5	-79	SHORT
2765	2025.05.05 04:04:40	2025.05.05 05:00:00	-5.5	189	163.5	SHORT
2769	2025.05.07 04:00:20	2025.05.07 04:04:40	-56.5	5.5	-56.5	SHORT
2779	2025.05.15 04:20:40	2025.05.15 05:37:40	-32.5	19	-32.5	SHORT
2784	2025.05.21 05:17:40	2025.05.21 07:30:00	-22	67	59.5	SHORT
2788	2025.05.23 04:05:40	2025.05.23 06:21:40	-52	48.5	-52	SHORT
2791	2025.05.26 04:01:20	2025.05.26 04:49:20	-77.5	2	-77.5	SHORT
2794	2025.05.27 04:07:40	2025.05.27 07:00:00	-3.5	130	108	SHORT
2808	2025.06.09 05:21:40	2025.06.09 06:57:20	-31.5	29.5	-31.5	SHORT
2815	2025.06.12 01:54:40	2025.06.12 04:00:00	-37	128	90.5	SHORT
2823	2025.06.17 05:03:40	2025.06.17 05:53:40	-74	71.5	-74	SHORT
2832	2025.06.24 05:07:40	2025.06.24 08:34:40	-61.5	52	-61.5	SHORT
2839	2025.06.30 04:01:40	2025.06.30 05:10:40	-31.5	27	-31.5	SHORT
2841	2025.07.01 01:55:20	2025.07.01 02:52:40	-56.5	23.5	-56.5	SHORT
2843	2025.07.01 04:24:40	2025.07.01 04:49:40	-33	6.5	-33	SHORT
2851	2025.07.09 01:32:40	2025.07.09 02:18:40	-39.5	2.5	-39.5	SHORT
2863	2025.07.18 05:03:40	2025.07.18 05:31:40	-21	4	-21	SHORT
2867	2025.07.23 05:15:40	2025.07.23 06:24:40	-49	6	-49	SHORT
2872	2025.07.28 04:06:40	2025.07.28 05:24:40	-24.5	6	-24.5	SHORT
2877	2025.07.30 04:10:40	2025.07.30 04:36:40	-21	27.5	-21	SHORT
2883	2025.08.01 01:35:40	2025.08.01 10:30:00	-93.5	224	222.5	SHORT
2891	2025.08.07 04:15:40	2025.08.07 04:40:40	-37	10.5	-37	SHORT
2895	2025.08.08 04:15:40	2025.08.08 08:30:00	-40.5	65.5	51	SHORT
2905	2025.08.18 05:24:40	2025.08.18 07:30:00	-21.5	47.5	25.5	SHORT
2908	2025.08.20 04:11:40	2025.08.20 06:30:00	-12	85.5	62.5	SHORT
2910	2025.08.21 01:40:20	2025.08.21 04:57:40	-58	92.5	-58	SHORT
2914	2025.08.22 04:08:40	2025.08.22 05:11:40	-47	13	-47	SHORT
2922	2025.09.01 04:19:40	2025.09.01 05:30:00	-18	111.5	105.5	SHORT
2926	2025.09.04 04:23:40	2025.09.04 05:02:40	-37.5	19	-37.5	SHORT
2928	2025.09.05 01:35:40	2025.09.05 02:06:40	-40	4.5	-40	SHORT
2931	2025.09.05 05:18:40	2025.09.05 05:46:40	-24	13	-24	SHORT
2934	2025.09.08 05:03:40	2025.09.08 05:30:00	-3	50	39.5	SHORT
2949	2025.09.18 04:02:20	2025.09.18 04:05:40	-19.5	1	-19.5	SHORT
2952	2025.09.19 01:41:40	2025.09.19 02:33:40	-57.5	4	-57.5	SHORT
2955	2025.09.19 05:14:40	2025.09.19 06:09:40	-30	12	-30	SHORT
2958	2025.09.23 04:01:40	2025.09.23 04:28:40	-31.5	5	-31.5	SHORT
2962	2025.09.25 05:10:40	2025.09.25 08:00:00	-27	46	33	SHORT
2965	2025.09.26 04:11:40	2025.09.26 08:00:00	-35.5	60.5	48.5	SHORT
2968	2025.09.29 04:01:40	2025.09.29 05:34:20	-39.5	25.5	-39.5	SHORT
2971	2025.10.01 01:57:40	2025.10.01 03:30:00	-23.5	100.5	89.5	SHORT
2973	2025.10.01 04:07:40	2025.10.01 08:30:00	-45.5	60	49	SHORT
2977	2025.10.02 05:12:40	2025.10.02 10:05:40	-41	26	-41	SHORT
2984	2025.10.07 01:33:20	2025.10.07 02:00:00	-10.5	95	82.5	SHORT
2996	2025.10.14 04:04:40	2025.10.14 06:30:00	-60.5	166.5	132	SHORT
3001	2025.10.16 05:28:40	2025.10.16 06:02:40	-53.5	46.5	-53.5	SHORT
3003	2025.10.17 01:43:40	2025.10.17 08:30:00	-111.5	260	211.5	SHORT
3017	2025.10.29 01:45:20	2025.10.29 02:47:40	-37.5	14	-37.5	SHORT
3022	2025.10.31 01:46:40	2025.10.31 03:28:40	-70.5	47.5	-70.5	SHORT
3024	2025.10.31 05:26:40	2025.10.31 06:30:00	-10.5	56.5	48.5	SHORT
3039	2025.11.13 04:11:40	2025.11.13 08:35:40	-101	60.5	-101	SHORT
3043	2025.11.14 05:02:40	2025.11.14 06:30:00	-32.5	153.5	138.5	SHORT
3049	2025.11.19 05:14:40	2025.11.19 05:30:00	5.5	107.5	59	SHORT
3052	2025.11.20 04:28:40	2025.11.20 04:55:40	-73.5	2.5	-73.5	SHORT
3059	2025.11.26 01:52:40	2025.11.26 02:16:40	-59.5	5.5	-59.5	SHORT
3066	2025.12.01 01:31:40	2025.12.01 02:30:00	-28.5	222	153.5	SHORT
3068	2025.12.01 04:19:40	2025.12.01 07:00:00	-32.5	136.5	129	SHORT
3070	2025.12.02 05:16:40	2025.12.02 08:30:00	-25	120.5	107.5	SHORT
3075	2025.12.04 05:16:40	2025.12.04 08:30:40	-44.5	41	-44.5	SHORT
3077	2025.12.05 01:32:40	2025.12.05 02:34:20	-40.5	38	-40.5	SHORT
3083	2025.12.10 05:19:40	2025.12.10 06:03:40	-22.5	9	-22.5	SHORT
3085	2025.12.12 05:03:20	2025.12.12 05:30:00	-14	46.5	37.5	SHORT
3093	2025.12.22 05:18:40	2025.12.22 07:30:00	-9.5	45	42	SHORT
3106	2026.01.06 01:30:40	2026.01.06 03:28:40	-39	51.5	-39	SHORT
3110	2026.01.07 04:13:40	2026.01.07 06:30:00	-20.5	61.5	59	SHORT
3114	2026.01.12 05:01:40	2026.01.12 07:30:00	-27	94.5	75	SHORT
3122	2026.01.19 05:05:40	2026.01.19 05:30:00	-4	102.5	52	SHORT
3125	2026.01.21 01:48:40	2026.01.21 02:38:40	-74.5	69.5	-74.5	SHORT
3128	2026.01.22 01:35:40	2026.01.22 02:14:40	-83.5	10	-83.5	SHORT
3130	2026.01.22 04:21:20	2026.01.22 05:00:00	-12	40.5	31.5	SHORT
3138	2026.01.28 05:26:40	2026.01.28 06:10:20	-29	33	-29	SHORT
